index,code,alpha,beta
965,stock102716,1.8292089598909897,1.9235671135169201
965,stock103516,2.2145472840019353,1.6319705436524878
965,stock100134,2.536516223013676,1.2731404099327768
965,stock101984,2.30005914488747,1.7346693907297153
965,stock103334,2.0486983908509715,1.7973646644895658
965,stock103522,2.189169327509103,1.589156263326269
965,stock102161,2.085292690087339,1.6635849310029645
965,stock100345,2.1084652501352212,1.6882758390670687
965,stock101201,1.905285508633557,1.9485049579699407
965,stock103296,2.19587532871911,1.7206192504221953
965,stock102295,2.042372242532142,1.7926886253922618
965,stock103279,1.9427838815789844,1.8517922563859626
965,stock100902,2.071150510101014,1.7646477916057934
965,stock101750,2.0810204866818456,1.8428980415010423
965,stock101406,2.1279835438149446,1.7307615198992927
965,stock100944,2.1517572469082547,1.788552285244038
965,stock103512,1.9402771508933188,1.8978730288354868
965,stock100279,2.011181359566613,1.9074511955503282
965,stock101721,1.7352212056428162,1.1374950216579973
965,stock102417,2.2467730720977164,1.6829472220931485
965,stock101386,2.4032312119747012,1.0305399056117706
965,stock102116,2.43478968778184,1.4854640762673705
965,stock101308,2.03800405572622,1.852182828733981
