code,n
stock103374,178
stock100648,159
stock102406,141
stock100677,130
stock102853,130
stock102106,127
stock101623,126
stock102588,126
stock100638,124
stock100214,122
stock102651,122
stock101097,121
stock101653,120
stock100058,118
stock101422,118
stock103211,117
stock103342,116
stock100156,111
stock103338,109
stock102796,108
stock103554,108
stock102253,107
stock102311,107
stock102109,106
stock100916,105
stock102312,104
stock100674,103
stock102563,102
stock102925,100
stock100067,99
