"enterprise","record_number","msa","perc_minority","tract_income_ratio","borrower_income_ratio","loan_purpose","federal_guarantee","borrower_race","co_borrower_race","borrower_gender","co_borrower_gender","num_units","affordability","year","type"
1,320,1,1,3,2,8,4,5,9,2,4,1,4,2011,0
1,17,1,2,2,3,2,4,5,9,2,4,1,4,2013,1
1,208,1,1,2,3,1,4,5,9,1,4,1,4,2008,1
1,514,1,1,2,2,2,4,5,5,2,2,1,4,2008,1
1,511,1,1,2,2,8,4,5,5,1,2,1,4,2008,0
2,675,1,1,2,3,2,4,5,5,1,2,1,9,2009,1
1,857,1,2,2,2,8,4,5,9,1,4,1,4,2008,0
1,218,0,1,2,3,2,4,5,5,1,2,1,4,2015,1
2,860,1,1,2,3,8,4,5,5,1,2,1,4,2014,0
1,503,1,3,1,1,8,4,5,9,2,4,1,2,2008,0
1,807,1,2,3,3,2,4,9,9,3,3,1,4,2011,1
1,902,0,1,2,3,8,4,5,5,1,2,1,4,2011,0
1,452,1,1,2,3,8,4,5,5,1,2,1,4,2009,0
2,844,1,1,3,3,2,4,5,5,1,2,1,4,2012,1
2,573,0,1,2,3,1,4,5,9,1,5,1,9,2008,1
1,825,1,2,2,2,2,4,5,9,1,4,1,4,2013,1
1,381,1,2,3,3,1,4,5,5,1,2,1,4,2013,1
1,586,0,1,3,3,2,4,5,5,1,2,1,4,2009,1
1,936,1,1,3,3,2,4,5,9,1,4,1,4,2011,1
2,532,1,1,2,3,8,4,5,9,1,5,1,4,2014,0
1,558,1,2,3,3,8,4,5,5,2,1,1,4,2012,0
1,560,1,3,2,3,8,4,5,9,1,4,1,4,2013,0
1,631,1,2,3,3,1,4,5,5,2,2,1,4,2011,1
1,684,1,2,3,3,2,4,5,9,1,4,1,4,2012,1
1,408,1,3,1,1,1,4,7,7,1,2,2,2,2012,1
1,303,1,3,2,3,8,4,2,2,1,2,1,4,2009,0
1,261,0,1,2,3,2,4,9,9,1,4,1,4,2009,1
1,686,1,2,3,3,1,4,5,9,1,4,1,4,2014,0
1,78,1,3,1,3,8,4,7,9,1,4,1,4,2008,0
1,317,1,2,3,3,2,4,5,5,1,2,1,4,2011,1
2,140,1,2,2,2,8,4,5,5,1,2,1,9,2008,0
2,411,1,3,3,3,1,4,7,7,1,2,1,4,2010,1
1,261,1,1,2,2,2,4,5,5,1,2,1,4,2009,1
1,267,1,2,3,3,1,4,5,9,1,4,1,4,2010,0
2,646,0,1,2,3,2,4,5,5,1,2,1,4,2010,1
2,727,1,2,3,3,2,4,9,9,3,5,1,4,2014,1
1,755,1,3,2,3,8,4,5,9,1,4,1,4,2013,0
2,948,0,2,2,3,2,4,5,5,1,2,1,4,2011,1
1,588,1,2,1,1,2,4,5,9,2,4,1,2,2012,1
1,665,0,3,2,3,2,4,5,5,1,2,1,4,2013,1
2,716,1,2,3,3,1,4,5,5,1,2,1,4,2015,1
1,997,1,1,3,3,2,4,9,9,3,3,1,4,2009,1
2,296,1,3,2,1,8,4,5,9,2,5,1,3,2012,0
1,232,1,3,3,3,1,4,5,9,1,4,1,4,2012,1
1,779,1,2,3,3,8,4,5,5,1,2,1,4,2014,0
2,678,1,1,3,1,1,4,5,9,2,5,1,3,2008,1
1,449,1,1,3,3,8,4,9,9,3,3,1,4,2012,0
1,782,1,3,3,3,8,4,2,9,1,4,1,4,2012,0
2,980,1,1,2,2,8,4,5,9,2,5,1,9,2009,0
2,829,0,1,2,3,2,4,5,9,1,5,1,4,2011,1
1,421,1,1,3,2,8,4,7,9,1,4,1,4,2009,0
1,657,1,3,2,2,1,4,2,2,1,2,2,4,2009,1
1,373,1,3,2,2,1,4,5,5,1,2,1,4,2010,1
1,508,1,2,3,3,2,4,5,5,1,2,1,4,2015,1
1,129,1,1,3,2,2,4,5,9,1,4,1,4,2008,1
2,575,1,3,1,3,1,4,5,5,1,2,1,9,2008,1
1,821,1,2,2,3,1,4,5,9,2,4,1,4,2010,0
2,372,1,2,3,3,1,4,9,9,2,5,1,4,2011,0
2,560,1,3,1,3,8,4,5,9,1,5,1,9,2008,0
2,903,1,1,3,3,1,4,5,5,2,1,1,4,2012,0
2,845,1,1,2,1,8,4,5,5,1,2,1,3,2012,0
1,675,1,2,3,3,2,4,5,5,1,2,1,4,2015,1
1,204,1,1,3,3,1,4,5,5,2,1,1,4,2009,1
2,551,1,2,3,3,1,4,5,9,1,5,1,4,2015,0
2,832,0,1,2,3,8,4,5,5,1,2,1,4,2010,0
2,5,1,2,3,1,2,4,9,9,3,5,1,3,2011,1
1,864,1,2,2,3,1,4,5,5,2,2,1,4,2011,0
1,12,1,2,3,3,2,4,7,9,1,4,1,4,2008,1
2,901,1,3,2,2,8,4,9,9,3,3,1,4,2013,0
1,28,1,1,3,2,2,4,6,9,1,4,1,4,2015,1
2,496,1,2,2,3,8,4,9,9,9,5,1,9,2008,0
2,44,0,1,1,2,8,4,5,5,1,2,1,1,2014,0
2,539,1,2,2,3,8,4,5,9,1,5,1,4,2012,0
2,368,1,2,2,9,8,4,9,9,9,5,1,9,2008,0
1,554,1,2,2,3,8,4,5,5,1,2,1,4,2010,0
1,20,1,3,2,3,1,1,3,3,1,2,1,4,2010,1
1,135,1,2,3,3,2,4,9,9,3,3,1,4,2010,1
2,109,1,2,3,3,2,4,5,5,1,2,1,4,2010,1
2,820,1,3,2,3,1,4,5,5,2,1,1,9,2008,0
1,687,1,3,1,3,2,4,9,9,3,3,1,4,2009,1
2,248,1,1,3,3,1,4,5,5,1,2,1,9,2009,1
1,437,1,1,2,3,1,4,5,9,1,4,1,4,2013,1
1,128,1,3,2,2,2,4,5,5,1,2,1,4,2012,1
1,500,1,2,2,2,2,4,5,9,1,4,1,4,2015,1
2,987,1,1,2,2,8,4,5,5,1,2,1,9,2008,0
1,294,1,3,2,3,8,4,5,9,2,4,1,4,2012,0
2,897,0,1,2,3,2,4,5,5,1,2,1,4,2013,1
2,141,1,2,3,3,2,4,5,5,1,2,1,4,2011,1
1,718,1,3,3,3,2,4,2,9,1,4,1,4,2010,1
2,824,1,3,1,1,1,4,5,9,1,5,1,2,2009,1
2,755,1,3,1,2,8,4,6,6,1,2,1,1,2015,0
2,168,1,2,2,2,8,4,5,9,1,5,1,4,2010,0
1,82,1,2,2,3,8,4,5,5,2,1,1,4,2010,0
2,472,1,3,2,2,8,4,7,7,1,2,1,9,2009,0
1,58,1,2,2,3,1,4,5,9,1,4,1,4,2008,0
1,416,1,1,2,1,2,4,5,9,1,4,1,3,2010,1
1,395,0,1,2,2,2,4,5,9,2,4,1,4,2012,1
1,948,1,1,1,3,8,4,9,9,3,3,1,4,2012,0
