rank,index_1,index_2,index_3,index_4,index_5,index_6
1,8.80831100151407,-4.679302121081789,0.920281914025892,0.920281914025892,0.920281914025892,0.920281914025892
2,8.49444394336883,-4.3190985330716245,0.9955348422921201,0.9955348422921201,0.9955348422921201,0.9955348422921201
3,7.810677222046193,-3.7044621942081215,0.9034653722559468,0.9034653722559468,0.9034653722559468,0.9034653722559468
4,7.379203915237756,-3.4134431841125603,1.0037743450038188,1.0037743450038188,1.0037743450038188,1.0037743450038188
5,7.913453114377617,-3.8794105975490782,1.1135326034631263,1.1135326034631263,1.1135326034631263,1.1135326034631263
6,7.756608949025681,-3.8167028573037407,1.2746359287500038,1.2746359287500038,1.2746359287500038,1.2746359287500038
7,7.200107070654582,-3.447647574358649,1.3787449048932314,1.3787449048932314,1.3787449048932314,1.3787449048932314
8,6.787591394057448,-3.0516262777064487,1.299275763875146,1.299275763875146,1.299275763875146,1.299275763875146
9,7.294129524966517,-3.5010798809876205,1.4509843726923686,1.4509843726923686,1.4509843726923686,1.4509843726923686
10,7.1002481150812375,-3.303911216748157,1.4282367679076908,1.4282367679076908,1.4282367679076908,1.4282367679076908
11,7.467547537580224,-3.6592797459952444,1.432766775069245,1.432766775069245,1.432766775069245,1.432766775069245
12,7.311481530454514,-3.7092640512880686,1.5440938253843415,1.5440938253843415,1.5440938253843415,1.5440938253843415
13,7.466059717756824,-3.9666049530914083,1.7657650587001852,1.7657650587001852,1.7657650587001852,1.7657650587001852
14,7.322043781500296,-3.914266075479457,1.8098185543769245,1.8098185543769245,1.8098185543769245,1.8098185543769245
15,7.318920867789877,-3.8394875677337312,2.130398006436025,2.130398006436025,2.130398006436025,2.130398006436025
16,7.234335442773654,-3.905901216701689,2.178001158818226,2.178001158818226,2.178001158818226,2.178001158818226
17,7.186470418704743,-3.8648576365100418,2.02995683729091,2.02995683729091,2.02995683729091,2.02995683729091
18,7.290449726250808,-4.132944194665176,1.8914858706392663,1.8914858706392663,1.8914858706392663,1.8914858706392663
19,6.6676812416863,-3.5945234093500047,1.8225149979740658,1.8225149979740658,1.8225149979740658,1.8225149979740658
20,6.976721385937217,-3.8316596514411865,2.0771002792915043,2.0771002792915043,2.0771002792915043,2.0771002792915043
21,6.61213563044451,-3.5546070798084517,1.8261924923150112,1.8261924923150112,1.8261924923150112,1.8261924923150112
22,5.855289982148657,-2.956522219289517,1.5728538828206147,1.5728538828206147,1.5728538828206147,1.5728538828206147
23,5.158059787377058,-2.3439911297360534,1.4277796056433247,1.4277796056433247,1.4277796056433247,1.4277796056433247
24,4.509883177383374,-1.7712839689657969,1.252526862729509,1.252526862729509,1.252526862729509,1.252526862729509
25,4.452386117302928,-1.5126345869372042,1.0880845064099463,1.0880845064099463,1.0880845064099463,1.0880845064099463
26,4.797704001237605,-1.7710266569459696,1.0451540340758796,1.0451540340758796,1.0451540340758796,1.0451540340758796
27,5.003135210366114,-2.1545018817046273,1.1761159883328893,1.1761159883328893,1.1761159883328893,1.1761159883328893
28,4.5735525226011,-1.7788487614925268,1.0409975411829981,1.0409975411829981,1.0409975411829981,1.0409975411829981
29,3.9656657723737756,-1.2784274504050606,0.8620277490095574,0.8620277490095574,0.8620277490095574,0.8620277490095574
30,3.6102575685327167,-0.9449184195597132,0.7318476490625804,0.7318476490625804,0.7318476490625804,0.7318476490625804
31,3.4053708694857394,-0.9371206040330035,0.6232320825870924,0.6232320825870924,0.6232320825870924,0.6232320825870924
32,3.558977446470306,-1.1796814414034962,0.7024316359434228,0.7024316359434228,0.7024316359434228,0.7024316359434228
33,3.789795548099826,-1.4283890777197328,0.840803605620839,0.840803605620839,0.840803605620839,0.840803605620839
34,3.6898135918452284,-1.2811463535970298,0.8315960962696213,0.8315960962696213,0.8315960962696213,0.8315960962696213
35,3.602129329260123,-1.3157324591386126,0.8628286790285411,0.8628286790285411,0.8628286790285411,0.8628286790285411
36,2.950392123525791,-0.7591277587315081,0.8991856936798244,0.8991856936798244,0.8991856936798244,0.8991856936798244
37,2.6219376798573157,-0.45802710195715085,1.0512101399863227,1.0512101399863227,1.0512101399863227,1.0512101399863227
38,2.8517843945665056,-0.6775034011842569,1.142141247706876,1.142141247706876,1.142141247706876,1.142141247706876
39,2.713116049730356,-0.5732964722564826,1.266703597547524,1.266703597547524,1.266703597547524,1.266703597547524
40,2.8975154655189987,-0.6909912522831125,1.3762565430900624,1.3762565430900624,1.3762565430900624,1.3762565430900624
41,3.009586793994825,-0.8117815326029267,1.4951048925886736,1.4951048925886736,1.4951048925886736,1.4951048925886736
42,2.815768033256014,-0.7716943646349984,1.6412286288536877,1.6412286288536877,1.6412286288536877,1.6412286288536877
43,2.7786391289774794,-0.68631860447076,1.8592917240399176,1.8592917240399176,1.8592917240399176,1.8592917240399176
44,2.7975344968603335,-0.8399674393784331,2.0402019803694724,2.0402019803694724,2.0402019803694724,2.0402019803694724
45,2.3157690404336813,-0.49335906028632365,2.021164167941175,2.021164167941175,2.021164167941175,2.021164167941175
46,2.142893930615681,-0.41776547645404416,2.0412594693120125,2.0412594693120125,2.0412594693120125,2.0412594693120125
47,1.9125748773662088,-0.19688872377761696,1.9918443924678901,1.9918443924678901,1.9918443924678901,1.9918443924678901
48,1.7044204312225755,-0.07158750992168206,1.9193377822947353,1.9193377822947353,1.9193377822947353,1.9193377822947353
49,1.8975444743264005,-0.24399500016218542,1.8197833362336444,1.8197833362336444,1.8197833362336444,1.8197833362336444
