code,hclus_tag
stock101623,1
stock101637,1
stock101643,1
stock101645,1
stock101653,5
stock101658,1
stock101661,1
stock101668,1
stock101669,1
stock101677,4
stock101679,1
stock101682,1
stock101684,5
stock101691,5
stock101692,1
stock101696,3
stock101697,1
stock101700,1
stock101704,1
stock101705,1
stock101711,1
stock101715,2
stock101719,1
stock101723,3
stock101724,1
stock101751,1
stock101755,1
stock101759,1
stock101764,1
stock101773,5
stock101779,5
stock101782,1
stock101783,5
stock101792,1
stock101793,5
stock101796,3
stock101801,4
stock101804,1
stock101806,5
stock101809,1
stock101821,1
stock101826,3
stock101828,2
stock101831,4
stock101834,2
stock101837,1
stock101841,5
stock101843,1
stock101845,1
stock101847,1
stock101850,1
stock101852,1
stock101854,2
stock101858,1
stock101860,1
stock101862,5
stock101867,1
stock101871,1
stock101889,5
stock101893,1
stock101895,1
stock101896,1
stock101902,1
stock101907,1
stock101908,1
stock101910,1
stock101913,3
stock101918,1
stock101920,1
stock101924,1
stock101931,5
stock101940,1
stock101948,1
stock101951,2
stock101972,5
stock101976,1
stock101981,3
stock101992,5
stock101999,2
stock102001,1
stock102003,5
stock102007,1
stock102009,1
stock102015,4
stock102020,1
stock102028,4
stock102029,1
stock102033,1
stock102050,2
stock102056,1
stock102064,1
stock102070,1
stock102088,3
stock102090,1
stock102091,5
stock102092,1
stock102094,2
stock102098,3
stock102102,1
stock102106,1
stock102107,1
stock102108,1
stock102109,1
stock102110,3
stock102115,1
stock102126,1
stock102128,1
stock102136,1
stock102140,5
stock102150,3
stock102151,1
stock102158,1
stock102166,1
stock102169,2
stock102174,4
stock102176,1
stock102177,5
stock102182,1
stock102183,1
stock102192,1
stock102196,1
stock102201,1
stock102203,1
stock102205,3
stock102215,3
stock102219,1
stock102220,3
stock102222,1
stock102223,3
stock102227,1
stock102241,1
stock102242,1
stock102250,3
stock102252,1
stock102253,3
stock102256,3
stock102259,1
stock102267,3
stock102268,1
stock102269,1
stock102271,1
stock102272,1
stock102274,5
stock102280,2
stock102281,1
stock102287,1
stock102300,2
stock102311,3
stock102312,1
stock102317,1
stock102320,1
stock102322,4
stock102323,3
stock102324,5
stock102331,1
stock102333,1
stock102334,1
stock102335,1
stock102349,1
stock102355,1
stock102366,5
stock102368,2
stock102375,1
stock102376,4
stock102381,1
stock102385,1
stock102394,1
stock102395,3
stock102396,1
stock102400,2
stock102406,1
stock102411,1
stock102427,4
stock102430,1
stock102439,1
stock102440,1
stock102443,1
stock102444,1
stock102446,3
stock102447,5
stock102452,1
stock102454,1
stock102456,1
stock102457,1
stock102459,1
stock102463,5
stock102464,1
stock102465,1
stock102468,1
stock102475,3
stock102479,5
stock102485,3
stock102490,1
stock102492,1
stock102497,1
stock102504,1
stock102512,1
stock102521,5
stock102530,5
stock102533,2
stock102536,3
stock102540,3
stock102542,1
stock102548,1
stock102556,1
stock102557,1
stock102560,3
stock102563,1
stock102571,1
stock102574,1
stock102576,1
stock102588,1
stock102594,3
stock102598,1
stock102599,5
stock102601,1
stock102603,1
stock102605,1
stock102606,1
stock102611,1
stock102612,4
stock102619,1
stock102621,4
stock102623,5
stock102627,1
stock102633,1
stock102634,5
stock102640,5
stock102641,4
stock102644,1
stock102651,1
stock102667,1
stock102672,1
stock102676,5
stock102681,1
stock102687,2
stock102695,1
stock102704,5
stock102710,1
stock102711,4
stock102712,1
stock102724,1
stock102728,2
stock102731,3
stock102734,1
stock102742,1
stock102748,3
stock102758,1
stock102762,1
stock102768,1
stock102769,3
stock102771,1
stock102772,1
stock102784,1
stock102788,1
stock102790,5
stock102791,5
stock102794,1
stock102796,1
stock102812,1
stock102819,1
stock102826,4
stock102834,3
stock102836,5
stock102837,3
stock102839,1
stock102841,1
stock102843,1
stock102845,1
stock102846,1
stock102853,1
stock102855,1
stock102856,1
stock102857,1
stock102865,4
stock102869,1
stock102877,1
stock102880,2
stock102881,1
stock102885,5
stock102887,3
stock102888,2
stock102899,3
stock102906,1
stock102910,1
stock102918,1
stock102919,5
stock102921,2
stock102925,4
stock102927,1
stock102934,1
stock102939,1
stock102941,5
stock102947,1
stock102955,2
stock102961,1
stock102964,5
stock102971,4
stock102973,1
stock102982,5
stock102987,1
stock102988,1
stock102990,2
stock102991,5
stock102994,1
stock102995,5
stock102997,1
stock102999,1
stock103013,5
stock103025,1
stock103032,2
stock103034,1
stock103035,1
stock103039,1
stock103041,4
stock103042,4
stock103043,1
stock103044,5
stock103045,4
stock103046,4
stock103064,1
stock103074,5
stock103077,1
stock103092,1
stock103094,1
stock103096,1
stock103097,1
stock103104,1
stock103109,1
stock103114,5
