code,n
stock103024,118
stock100690,115
stock101144,102
stock101495,99
stock100639,96
stock100553,88
stock102568,88
stock100952,87
stock103153,87
stock103391,87
stock102907,83
stock103095,82
stock103596,82
stock102127,78
stock100163,76
stock101777,76
stock101650,74
stock101739,74
stock101849,72
stock103151,72
stock100234,70
stock102682,69
stock101304,66
stock103174,66
stock103436,66
stock100030,65
stock101238,62
stock102101,62
stock102243,61
stock101444,60
stock103099,60
