x
6500
16600
14500
27800
9900
6e3
27400
20600
3500
1150
10280
12150
1563162
3500
5500
6e3
16150
4500
2e4
51540
12500
141811
784760
43e3
15600
26840
3e3
115100
15500
12700
49200
6300
37500
4e3
4600
8500
3e3
7700
14600
78400
59700
20600
5e3
3500
50900
32e3
28850
8e3
7400
59750
75900
3e3
66900
104500
50300
38750
17500
66400
17670
3949
11150
9653
5e3
3e3
3e3
14050
3e3
25e3
4e3
4500
4750
55e3
2e3
5500
4750
5e3
4500
3e3
5e3
28e4
9500
4500
4500
3e4
1500
8e3
4500
4800
3e3
8e3
2500
3e4
12e3
3500
9600
16e3
4e3
5500
4e3
5e3
6e3
1200
1e3
6200
6300
5500
5e3
3500
3500
1250
1300
4600
4e3
3600
5e3
17300
6e3
8e3
6e3
5500
13500
2500
5500
4500
5900
7e3
13e3
6700
6800
5e3
6200
6300
6100
3600
3300
3500
2900
3e3
3150
3250
9900
8700
7300
9600
4e3
4500
4100
3350
3950
4250
3850
3950
3500
4e3
4550
3e3
13300
13900
3e3
4550
14650
14400
3500
NA
3900
11e3
12e3
28e3
9e3
22e3
29e3
5500
3e3
2500
208009850
18e3
27500
2e4
28e3
22500
20500
27600
28500
18e3
18500
18900
11700
3500
3900
20800
21e3
5e3
8600
10500
10600
9e3
9500
12e3
12500
11800
7500
9750
9e3
8e3
9800
5600
9700
7550
3500
6e3
11550
10500
5e3
12100
7e3
7e3
8e3
8500
9500
5e3
4600
4550
3700
2500
2900
5500
5850
3550
2650
4550
6500
7500
6850
8e3
10250
6e3
7750
6950
6900
7800
7250
25e3
28e3
19150
32e3
28e3
27e3
19e3
19550
16350
20150
20800
12e3
25500
26800
29550
24350
13e3
25e3
49500
44e3
27e3
25800
9e3
1e4
8550
8e3
9500
8100
11e3
11e3
7350
7550
4050
14e3
14500
13e3
15e3
19500
2e4
25e3
3e4
21e3
39500
43500
21500
8900
18500
18e3
19500
8700
19500
6300
12e3
15e3
18e3
4e4
36e3
25e3
39e3
37e3
3e4
33e3
37e3
25e3
18e3
2e4
21e3
19800
35700
6e4
19850
25890
52e3
15e3
17e3
19850
8e3
16500
8500
11e3
1e4
12e3
13500
18e3
6500
6850
25e3
22e3
32550
19e3
11e3
23e3
21550
22e3
23550
NA
9800
23e3
26800
23550
23850
15e3
26700
26850
32e3
7e4
73e3
71e3
29e3
35500
76550
78e3
5e4
46e3
47500
57500
35e3
36e3
58500
57e3
50100
39e3
60550
48100
56550
3e3
4200
3500
2700
11e3
12500
12e3
8790
14600
6700
1e4
19300
12e3
12500
2e4
25990
27340
2e4
15e3
64e3
25e3
29870
32340
39e3
32e3
19e3
15600
14e3
28500
34e3
