code,hclus_tag
stock102040,5
stock102041,1
stock102042,3
stock102044,5
stock102045,1
stock102047,5
stock102048,1
stock102051,1
stock102052,2
stock102057,1
stock102063,2
stock102069,1
stock102076,1
stock102077,3
stock102087,1
stock102096,1
stock102099,1
stock102103,1
stock102105,1
stock102111,1
stock102113,1
stock102116,3
stock102119,1
stock102122,1
stock102123,1
stock102125,1
stock102134,1
stock102135,2
stock102146,1
stock102147,1
stock102149,1
stock102157,2
stock102161,5
stock102162,5
stock102164,1
stock102165,1
stock102170,1
stock102173,2
stock102175,1
stock102178,4
stock102179,1
stock102181,1
stock102185,1
stock102187,1
stock102193,3
stock102194,2
stock102195,1
stock102206,2
stock102209,1
stock102224,2
stock102231,5
stock102234,1
stock102240,2
stock102247,1
stock102257,1
stock102258,1
stock102260,1
stock102262,1
stock102270,2
stock102276,1
stock102278,1
stock102285,1
stock102286,1
stock102289,1
stock102295,1
stock102302,1
stock102308,2
stock102314,1
stock102329,2
stock102336,1
stock102338,2
stock102339,2
stock102341,2
stock102343,1
stock102344,1
stock102345,1
stock102348,1
stock102350,1
stock102352,4
stock102364,1
stock102369,2
stock102380,1
stock102383,1
stock102405,1
stock102413,1
stock102416,2
stock102417,3
stock102420,4
stock102435,3
stock102441,2
stock102442,1
stock102445,1
stock102448,3
stock102449,1
stock102450,3
stock102458,1
stock102466,1
stock102470,3
stock102471,1
stock102473,1
stock102474,2
stock102476,1
stock102477,2
stock102478,1
stock102480,5
stock102483,1
stock102484,4
stock102486,2
stock102488,2
stock102493,5
stock102499,1
stock102500,1
stock102508,2
stock102511,2
stock102514,1
stock102515,4
stock102528,1
stock102529,4
stock102531,1
stock102541,1
stock102546,3
stock102547,5
stock102550,1
stock102553,4
stock102559,3
stock102561,1
stock102564,2
stock102570,2
stock102582,1
stock102589,2
stock102591,1
stock102596,1
stock102604,1
stock102608,1
stock102614,1
stock102615,1
stock102616,1
stock102618,1
stock102622,1
stock102625,1
stock102630,1
stock102637,4
stock102652,2
stock102653,1
stock102654,1
stock102655,1
stock102665,1
stock102670,1
stock102678,1
stock102680,1
stock102692,1
stock102698,1
stock102699,1
stock102707,4
stock102709,5
stock102715,1
stock102716,1
stock102717,2
stock102732,1
stock102736,1
stock102737,1
stock102738,4
stock102741,4
stock102749,1
stock102750,1
stock102754,1
stock102757,1
stock102781,1
stock102787,1
stock102793,1
stock102799,1
stock102800,4
stock102803,1
stock102805,3
stock102806,1
stock102809,4
stock102813,1
stock102816,3
stock102817,1
stock102822,2
stock102825,1
stock102833,1
stock102847,1
stock102849,1
stock102858,4
stock102863,5
stock102866,1
stock102867,4
stock102870,2
stock102876,1
stock102884,2
stock102886,1
stock102889,3
stock102890,1
stock102891,1
stock102892,2
stock102893,1
stock102896,1
stock102898,1
stock102902,1
stock102903,4
stock102904,1
stock102909,2
stock102915,1
stock102920,5
stock102923,1
stock102928,1
stock102929,1
stock102935,1
stock102936,1
stock102938,1
stock102940,1
stock102943,1
stock102944,1
stock102948,5
stock102949,1
stock102950,2
stock102957,1
stock102960,1
stock102962,1
stock102963,2
stock102966,2
stock102968,1
stock102979,3
stock102980,1
stock102985,5
stock102986,2
stock102998,2
stock103004,5
stock103006,4
stock103009,1
stock103010,5
stock103019,2
stock103020,4
stock103021,1
stock103027,1
stock103037,1
stock103038,1
stock103040,2
stock103047,1
stock103049,1
stock103050,1
stock103053,2
stock103054,1
stock103057,1
stock103065,3
stock103070,1
stock103081,5
stock103082,3
stock103084,1
stock103088,5
stock103089,4
stock103091,1
stock103098,3
stock103100,1
stock103102,1
stock103106,2
stock103107,2
stock103108,1
stock103112,1
stock103115,1
stock103130,1
stock103141,4
stock103145,2
stock103146,2
stock103147,1
stock103148,1
stock103154,2
stock103161,1
stock103164,3
stock103176,1
stock103178,2
stock103179,1
stock103181,1
stock103185,1
stock103190,1
stock103195,3
stock103204,1
stock103206,2
stock103207,1
stock103208,3
stock103212,3
stock103213,2
stock103216,1
stock103219,1
stock103220,1
stock103224,1
stock103229,1
stock103234,4
stock103240,2
stock103245,2
stock103251,1
stock103255,1
stock103258,1
stock103261,1
stock103264,1
stock103267,2
stock103269,2
stock103271,4
stock103277,2
stock103279,4
stock103282,1
stock103291,4
stock103296,5
stock103304,2
stock103306,3
stock103308,1
stock103310,1
stock103311,1
stock103312,3
stock103314,1
stock103319,4
stock103322,1
stock103326,1
stock103334,3
stock103339,2
stock103340,1
stock103341,1
stock103345,1
stock103347,3
stock103348,2
stock103352,5
stock103354,1
stock103360,1
stock103370,1
stock103371,1
stock103375,2
stock103380,1
stock103390,1
stock103397,1
stock103402,1
stock103403,3
stock103406,1
stock103414,2
stock103416,1
stock103417,1
stock103419,1
stock103430,2
stock103435,1
stock103437,1
stock103441,1
stock103442,1
stock103446,1
stock103448,2
stock103450,2
stock103451,1
stock103454,1
stock103457,1
