n_miss,n,cumsum_miss
0,99,0.10760869565217392
1,14,0.12282608695652174
2,19,0.14347826086956522
3,13,0.15760869565217392
4,17,0.17608695652173914
5,23,0.20108695652173914
6,9,0.2108695652173913
7,14,0.22608695652173913
8,10,0.23695652173913043
9,8,0.24565217391304348
10,21,0.2684782608695652
11,5,0.27391304347826084
12,9,0.28369565217391307
13,10,0.29456521739130437
14,13,0.30869565217391304
15,10,0.31956521739130433
16,4,0.3239130434782609
17,9,0.33369565217391306
18,6,0.3402173913043478
19,6,0.3467391304347826
20,5,0.3521739130434783
21,7,0.35978260869565215
22,9,0.3695652173913043
23,4,0.3739130434782609
24,3,0.37717391304347825
25,8,0.3858695652173913
26,8,0.39456521739130435
27,9,0.4043478260869565
28,9,0.4141304347826087
29,4,0.41847826086956524
30,4,0.42282608695652174
31,2,0.425
32,4,0.42934782608695654
33,2,0.4315217391304348
34,4,0.4358695652173913
35,3,0.4391304347826087
36,1,0.44021739130434784
37,1,0.44130434782608696
38,3,0.44456521739130433
39,4,0.4489130434782609
40,4,0.4532608695652174
41,1,0.4543478260869565
42,5,0.4597826086956522
43,5,0.4652173913043478
44,4,0.46956521739130436
45,6,0.47608695652173916
46,2,0.4782608695652174
47,3,0.4815217391304348
48,2,0.483695652173913
50,2,0.48586956521739133
51,3,0.4891304347826087
52,3,0.4923913043478261
53,5,0.49782608695652175
54,2,0.5
55,3,0.5032608695652174
56,1,0.5043478260869565
57,3,0.5076086956521739
58,5,0.5130434782608696
59,1,0.5141304347826087
60,5,0.5195652173913043
61,3,0.5228260869565218
62,1,0.5239130434782608
63,7,0.5315217391304348
64,4,0.5358695652173913
65,1,0.5369565217391304
66,4,0.5413043478260869
67,3,0.5445652173913044
68,4,0.5489130434782609
69,3,0.5521739130434783
70,5,0.5576086956521739
71,4,0.5619565217391305
72,5,0.5673913043478261
73,10,0.5782608695652174
74,4,0.5826086956521739
75,2,0.5847826086956521
76,4,0.5891304347826087
77,1,0.5902173913043478
78,2,0.592391304347826
80,5,0.5978260869565217
81,3,0.6010869565217392
82,1,0.6021739130434782
83,4,0.6065217391304348
84,3,0.6097826086956522
85,7,0.6173913043478261
86,3,0.6206521739130435
87,6,0.6271739130434782
88,1,0.6282608695652174
89,9,0.6380434782608696
90,3,0.6413043478260869
91,2,0.6434782608695652
92,5,0.6489130434782608
93,4,0.6532608695652173
94,1,0.6543478260869565
95,6,0.6608695652173913
96,3,0.6641304347826087
97,2,0.6663043478260869
98,2,0.6684782608695652
99,2,0.6706521739130434
100,2,0.6728260869565217
101,4,0.6771739130434783
102,1,0.6782608695652174
103,1,0.6793478260869565
104,8,0.6880434782608695
105,2,0.6902173913043478
106,3,0.6934782608695652
107,2,0.6956521739130435
108,2,0.6978260869565217
109,4,0.7021739130434783
110,2,0.7043478260869566
111,3,0.7076086956521739
112,3,0.7108695652173913
113,1,0.7119565217391305
114,4,0.716304347826087
116,5,0.7217391304347827
117,2,0.7239130434782609
118,1,0.725
119,2,0.7271739130434782
120,1,0.7282608695652174
121,2,0.7304347826086957
122,1,0.7315217391304348
123,1,0.7326086956521739
124,1,0.7336956521739131
125,6,0.7402173913043478
126,4,0.7445652173913043
127,1,0.7456521739130435
128,1,0.7467391304347826
130,2,0.7489130434782608
131,2,0.7510869565217392
132,1,0.7521739130434782
133,2,0.7543478260869565
134,4,0.758695652173913
135,2,0.7608695652173914
136,2,0.7630434782608696
137,2,0.7652173913043478
138,4,0.7695652173913043
139,4,0.7739130434782608
140,3,0.7771739130434783
141,3,0.7804347826086957
142,1,0.7815217391304348
146,1,0.782608695652174
149,2,0.7847826086956522
150,3,0.7880434782608695
151,3,0.7913043478260869
152,2,0.7934782608695652
154,1,0.7945652173913044
155,1,0.7956521739130434
156,1,0.7967391304347826
157,5,0.8021739130434783
158,1,0.8032608695652174
159,2,0.8054347826086956
160,1,0.8065217391304348
162,3,0.8097826086956522
164,2,0.8119565217391305
166,1,0.8130434782608695
167,2,0.8152173913043478
168,5,0.8206521739130435
169,1,0.8217391304347826
173,1,0.8228260869565217
175,1,0.8239130434782609
177,1,0.825
179,1,0.8260869565217391
181,1,0.8271739130434783
182,2,0.8293478260869566
183,3,0.8326086956521739
185,1,0.8336956521739131
187,2,0.8358695652173913
190,3,0.8391304347826087
194,1,0.8402173913043478
196,1,0.841304347826087
198,2,0.8434782608695652
199,5,0.8489130434782609
200,2,0.8510869565217392
202,1,0.8521739130434782
204,2,0.8543478260869565
205,2,0.8565217391304348
206,1,0.8576086956521739
207,1,0.8586956521739131
212,2,0.8608695652173913
213,1,0.8619565217391304
217,2,0.8641304347826086
219,1,0.8652173913043478
220,1,0.866304347826087
221,1,0.8673913043478261
223,1,0.8684782608695653
225,2,0.8706521739130435
229,1,0.8717391304347826
230,3,0.875
231,1,0.8760869565217392
233,1,0.8771739130434782
234,1,0.8782608695652174
237,1,0.8793478260869565
238,1,0.8804347826086957
241,3,0.883695652173913
242,1,0.8847826086956522
243,3,0.8880434782608696
250,1,0.8891304347826087
255,2,0.8913043478260869
257,1,0.8923913043478261
258,1,0.8934782608695652
259,1,0.8945652173913043
262,1,0.8956521739130435
263,1,0.8967391304347826
267,1,0.8978260869565218
268,1,0.8989130434782608
271,1,0.9
272,1,0.9010869565217391
273,1,0.9021739130434783
274,1,0.9032608695652173
276,2,0.9054347826086957
278,2,0.907608695652174
281,1,0.908695652173913
282,1,0.9097826086956522
